input_ra,input_dec,alerce_oid,matched_ra,matched_dec,max_class,max_prob
53.64795797710596,-28.4700977069736,313941448708849686,53.64813371619409,-28.469881725826543,,
53.6836005329128,-28.435547512302307,313695088856793235,53.683770972299726,-28.43559713106566,,
53.29038907053458,-28.757310898277595,314011740261580914,53.290395364112356,-28.75725681956868,,
53.25444197453542,-28.610173046573955,313862203996373050,53.2544786362973,-28.61010455101876,,
53.008249894288525,-28.668921935686445,313879818480386074,53.00810472396153,-28.66891128274097,,
52.85468707722072,-28.580673804041854,313998536723136604,52.854456556601534,-28.580580192817592,,
52.9267947782695,-28.589682714904875,313756671571132432,52.926796278468665,-28.589559502405944,,
52.74211356288632,-28.60084884089796,313695088855220345,52.74235025888726,-28.600936854086942,,
52.7049948967454,-28.325166873380045,313756671435866158,52.70506364051742,-28.325190787323656,,
52.69225066829052,-28.306195595908697,313862199453417474,52.69206338100792,-28.30640987971461,,
52.71349859242762,-28.288655404167557,313967752034385952,52.71357171253173,-28.28865953370886,,
52.42073459701784,-28.317502227570643,313677517605044298,52.420696474369976,-28.317487937964575,,
52.71520954906858,-28.268902813725493,313998536613036042,52.71511420291764,-28.268847869991333,,
52.71520954906858,-28.268902813725493,313787430650511364,52.71523365961352,-28.269155011704193,,
53.72243670035828,-28.25049537114804,313958955646189588,53.72249608916477,-28.250554419490832,,
53.542004930455086,-28.281140215332695,313774266818494582,53.54180462742443,-28.281187862396973,,
53.542004930455086,-28.281140215332695,313774266818494582,53.54180462742443,-28.281187862396973,,
53.542004930455086,-28.281140215332695,313774266818494582,53.54180462742443,-28.281187862396973,,
53.542004930455086,-28.281140215332695,313774266818494582,53.54180462742443,-28.281187862396973,,
53.81086162081508,-28.165845848199833,314002968345575600,53.81099588024982,-28.165998560990086,,
53.84804384567203,-28.123252592239233,313774266976305153,53.84804773325764,-28.123249130579683,,
53.67048038428014,-28.12652331790922,313950161209917441,53.67050396075968,-28.126530278071833,,
53.03059861815021,-28.16678160480402,314002968754520113,53.03049539745092,-28.166911493150646,,
